uid,rq_index,rq_text,publish_gate_1_ja,publish_gate_2_ja,publish_gate_3_ja,gate_rule_ja,gate_state,next_action_ja,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,本文差分下書き済み,証跡リンク追記済み,次回監視日更新済み,3条件達成でpublish_ready,pending_review,不足項目のみ補完,2026-03-01T21:57:00Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,本文差分下書き済み,証跡リンク追記済み,次回監視日更新済み,3条件達成でpublish_ready,pending_review,不足項目のみ補完,2026-03-01T21:57:00Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,本文差分下書き済み,証跡リンク追記済み,次回監視日更新済み,3条件達成でpublish_ready,pending_review,不足項目のみ補完,2026-03-01T21:57:00Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,本文差分下書き済み,証跡リンク追記済み,次回監視日更新済み,3条件達成でpublish_ready,pending_review,不足項目のみ補完,2026-03-01T21:57:00Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,本文差分下書き済み,証跡リンク追記済み,次回監視日更新済み,3条件達成でpublish_ready,pending_review,不足項目のみ補完,2026-03-01T21:57:00Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,本文差分下書き済み,証跡リンク追記済み,次回監視日更新済み,3条件達成でpublish_ready,pending_review,不足項目のみ補完,2026-03-01T21:57:00Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,本文差分下書き済み,証跡リンク追記済み,次回監視日更新済み,3条件達成でpublish_ready,pending_review,不足項目のみ補完,2026-03-01T21:57:00Z
U15,2,neurorightsを技術監査項目へどう写像するか。,本文差分下書き済み,証跡リンク追記済み,次回監視日更新済み,3条件達成でpublish_ready,pending_review,不足項目のみ補完,2026-03-01T21:57:00Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,本文差分下書き済み,証跡リンク追記済み,次回監視日更新済み,3条件達成でpublish_ready,pending_review,不足項目のみ補完,2026-03-01T21:57:00Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,本文差分下書き済み,証跡リンク追記済み,次回監視日更新済み,3条件達成でpublish_ready,pending_review,不足項目のみ補完,2026-03-01T21:57:00Z
