uid,rq_index,rq_text,watch_window_utc,checked_signal_ja,check_result,followup_needed,next_window_utc,execution_note_ja,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,2026-03-01T20:02:30Z,定義語改訂行,unchanged,no,2026-03-08T14:38:23Z,high優先で確認済み,2026-03-01T20:02:30Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,2026-03-01T20:02:30Z,時点語版更新,unchanged,no,2026-03-08T14:38:23Z,定期監視で確認済み,2026-03-01T20:02:30Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,2026-03-01T20:02:30Z,条項抽出条件語,unchanged,no,2026-03-08T14:38:23Z,high優先で確認済み,2026-03-01T20:02:30Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,2026-03-01T20:02:30Z,監査語追加,unchanged,no,2026-03-08T14:38:23Z,定期監視で確認済み,2026-03-01T20:02:30Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,2026-03-01T20:02:30Z,同義語追加,unchanged,no,2026-03-08T14:38:23Z,定期監視で確認済み,2026-03-01T20:02:30Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,2026-03-01T20:02:30Z,表記世代更新,unchanged,no,2026-03-08T14:38:23Z,定期監視で確認済み,2026-03-01T20:02:30Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,2026-03-01T20:02:30Z,法文定義改訂,unchanged,no,2026-03-08T14:38:23Z,high優先で確認済み,2026-03-01T20:02:30Z
U15,2,neurorightsを技術監査項目へどう写像するか。,2026-03-01T20:02:30Z,写像語粒度更新,unchanged,no,2026-03-08T14:38:23Z,定期監視で確認済み,2026-03-01T20:02:30Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,2026-03-01T20:02:30Z,共通三要件変化,unchanged,no,2026-03-08T14:38:23Z,high優先で確認済み,2026-03-01T20:02:30Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,2026-03-01T20:02:30Z,周期語公式追記,unchanged,no,2026-03-08T14:38:23Z,定期監視で確認済み,2026-03-01T20:02:30Z
